rank,candidate_id,filter_set,sensitivity,atr_period,max_bars_held,risk_profile,stop_loss_percent,take_profit_percent,symbols_tested,symbols_passed,median_test_return_percent,mean_test_return_percent,worst_test_return_percent,median_drawdown_percent,worst_drawdown_percent,median_profit_factor,median_trade_count,consistency_percent,score,status
601,MM-0472,BXStyle,1.2,7,20,Trend,4.0,10.0,9,0,0.1844,1.1412,-0.9698,1.5127,3.0079,1.109,14.0,0.0,6.6366,REJECT
602,MM-0090,EMA200,1.0,14,30,Trend,4.0,10.0,9,3,-0.466,1.0397,-2.6271,1.7921,5.6372,0.91,26.0,33.33,6.6312,REJECT
603,MM-0604,RSI+MACD,0.8,10,20,Trend,4.0,10.0,9,1,-0.1443,0.8218,-0.7264,1.0574,2.3522,0.8604,12.0,11.11,6.5982,REJECT
604,MM-0465,BXStyle,1.0,14,20,Balanced,3.0,8.0,9,0,0.4775,0.6211,-1.3245,1.7039,2.3001,1.1158,14.0,0.0,6.5913,REJECT
605,MM-0405,SmoothedHeikenAshi,1.0,10,20,Balanced,3.0,8.0,9,1,0.1426,0.3569,-1.3452,1.7039,2.6373,1.0357,14.0,11.11,6.5875,REJECT
606,MM-0483,BXStyle,1.2,14,20,Balanced,3.0,8.0,9,0,0.4018,0.7628,-2.0041,1.7856,2.3736,1.1986,14.0,0.0,6.5701,REJECT
607,MM-0351,LinearRegression,1.0,10,20,Balanced,3.0,8.0,9,0,0.4089,0.702,-1.8634,1.4523,2.647,1.1481,13.0,0.0,6.565,REJECT
608,MM-0147,RSI,1.2,7,20,Balanced,3.0,8.0,9,2,-0.4187,0.672,-1.0229,1.8189,3.284,0.9367,20.0,22.22,6.5524,REJECT
609,MM-0526,EMA200+RSI,1.2,7,20,Trend,4.0,10.0,9,2,-0.3034,1.0789,-2.0899,1.7209,2.6761,0.8604,18.0,22.22,6.5489,REJECT
610,MM-0533,EMA200+RSI,1.2,10,30,Balanced,3.0,8.0,9,2,-0.2847,0.6031,-1.4926,1.5874,2.847,0.8714,18.0,22.22,6.5422,REJECT
611,MM-0682,EMA200+BXStyle,1.0,14,20,Trend,4.0,10.0,9,0,0.3365,0.8142,-1.2794,1.6777,2.3052,1.1172,13.0,0.0,6.5397,REJECT
612,MM-0084,EMA200,1.0,10,30,Trend,4.0,10.0,9,3,-0.4177,0.9438,-3.0497,1.7252,5.6372,0.9201,27.0,33.33,6.4963,REJECT
613,MM-0324,RelativeVolume,1.2,14,30,Trend,4.0,10.0,9,0,0.2464,1.5807,-1.0797,1.639,4.19,1.0933,15.0,0.0,6.4934,REJECT
614,MM-0149,RSI,1.2,7,30,Balanced,3.0,8.0,9,2,-0.4187,0.6973,-1.0778,1.8734,3.284,0.9367,20.0,22.22,6.4675,REJECT
615,MM-0627,RSI+MACD,1.0,14,20,Balanced,3.0,8.0,9,0,0.1264,0.1432,-0.4811,0.9964,2.8594,1.1438,8.0,0.0,6.4593,REJECT
616,MM-0613,RSI+MACD,1.0,7,10,Balanced,3.0,8.0,9,0,0.171,0.1412,-0.688,0.9964,2.8594,1.1438,9.0,0.0,6.435,REJECT
617,MM-0248,ADX,1.0,14,10,Trend,4.0,10.0,9,0,0.1083,0.6162,-1.0063,1.0815,3.4886,1.1624,6.0,0.0,6.4271,REJECT
618,MM-0353,LinearRegression,1.0,10,30,Balanced,3.0,8.0,9,0,0.4089,0.6663,-1.8634,1.5211,2.647,1.1481,13.0,0.0,6.4082,REJECT
619,MM-0406,SmoothedHeikenAshi,1.0,10,20,Trend,4.0,10.0,9,1,0.3145,0.491,-2.4367,1.6994,3.2617,1.0595,14.0,11.11,6.3707,REJECT
620,MM-0534,EMA200+RSI,1.2,10,30,Trend,4.0,10.0,9,2,-0.2664,0.8348,-2.3144,1.4168,3.5785,0.8893,18.0,22.22,6.3615,REJECT
621,MM-0771,EMA200+RSI+MACD,0.8,14,20,Balanced,3.0,8.0,9,0,0.0064,0.7585,-0.55,1.054,1.9319,1.0188,6.0,0.0,6.3479,REJECT
622,MM-0078,EMA200,1.0,7,30,Trend,4.0,10.0,9,3,-0.3779,1.0937,-3.5782,1.6772,6.1515,0.9285,27.0,33.33,6.3263,REJECT
623,MM-0527,EMA200+RSI,1.2,7,30,Balanced,3.0,8.0,9,2,-0.3034,0.5681,-1.7,1.8734,2.847,0.9211,18.0,22.22,6.2466,REJECT
624,MM-0242,ADX,1.0,10,10,Trend,4.0,10.0,9,0,0.1083,0.7018,-1.4359,1.0815,3.4886,1.1624,6.0,0.0,6.2333,REJECT
625,MM-0205,MACD,1.2,10,10,Balanced,3.0,8.0,9,0,-0.0397,0.8462,-0.4021,0.9941,1.898,0.9771,10.0,0.0,6.2253,REJECT
626,MM-0414,SmoothedHeikenAshi,1.0,14,30,Trend,4.0,10.0,9,1,0.6158,0.4074,-3.7983,1.6994,4.6118,1.1474,14.0,11.11,6.1562,REJECT
627,MM-0699,EMA200+BXStyle,1.2,14,20,Balanced,3.0,8.0,9,0,0.3157,0.7104,-2.0041,1.6907,2.4166,1.1558,12.0,0.0,6.0117,REJECT
628,MM-0412,SmoothedHeikenAshi,1.0,14,20,Trend,4.0,10.0,9,1,0.2072,0.5046,-2.694,1.6994,3.5169,1.0922,14.0,11.11,6.0103,REJECT
629,MM-0785,EMA200+RSI+MACD,1.0,10,30,Balanced,3.0,8.0,9,0,0.0566,0.0023,-1.0733,0.7921,1.9723,1.0988,5.0,0.0,5.9844,REJECT
630,MM-0266,ADX,1.2,14,10,Trend,4.0,10.0,9,0,0.1083,0.6384,-1.5972,0.8963,3.2372,1.1053,6.0,0.0,5.9639,REJECT
631,MM-0454,BXStyle,1.0,7,20,Trend,4.0,10.0,9,0,0.3511,0.7231,-1.0901,1.572,3.3211,1.0741,15.0,0.0,5.8946,REJECT
632,MM-0150,RSI,1.2,7,30,Trend,4.0,10.0,9,2,-0.2195,0.9192,-2.8358,1.7754,4.3756,0.9555,20.0,22.22,5.8311,REJECT
633,MM-0310,RelativeVolume,1.2,7,20,Trend,4.0,10.0,9,0,0.1924,1.2278,-1.0797,1.6863,4.19,1.1039,15.0,0.0,5.8159,REJECT
634,MM-0550,EMA200+MACD,0.8,10,20,Trend,4.0,10.0,9,1,-0.139,0.3184,-1.4432,1.0574,2.3522,0.9213,7.0,11.11,5.8087,REJECT
