rank,candidate_id,filter_set,sensitivity,atr_period,max_bars_held,risk_profile,stop_loss_percent,take_profit_percent,train_return_percent,test_return_percent,test_drawdown_percent,test_profit_factor,test_win_rate,test_trade_count,robustness_ratio,score,status
1089,ARENA-1274,EMA200+RSI+MACD,1.2,7,20,Conservative,2.0,6.0,0.7487,0.9022,0.8247,1.8246,27.2727,11,1.2051,10.9033,REJECT
1090,ARENA-1277,EMA200+RSI+MACD,1.2,7,30,Conservative,2.0,6.0,0.7487,0.9022,0.8247,1.8246,27.2727,11,1.2051,10.9033,REJECT
1091,ARENA-0964,EMA200+RelativeVolume,1.2,14,10,Balanced,3.0,8.0,-1.7356,1.284,0.9781,1.4349,40.0,20,0.0,10.8903,REJECT
1092,ARENA-1017,RSI+MACD,1.0,10,30,Trend,4.0,10.0,3.6492,1.1316,0.8152,1.7738,33.3333,15,0.3101,10.7306,REJECT
1093,ARENA-1014,RSI+MACD,1.0,10,20,Trend,4.0,10.0,4.0537,1.1316,0.8152,1.7738,33.3333,15,0.2792,10.5759,REJECT
1094,ARENA-0814,EMA200+MACD,0.8,7,20,Balanced,3.0,8.0,4.991,0.4397,1.2246,1.1731,36.0,25,0.0881,10.5019,REJECT
1095,ARENA-0817,EMA200+MACD,0.8,7,30,Balanced,3.0,8.0,4.991,0.4397,1.2246,1.1731,36.0,25,0.0881,10.5019,REJECT
1096,ARENA-1006,RSI+MACD,1.0,7,30,Balanced,3.0,8.0,2.8507,0.8482,0.8152,1.586,37.5,16,0.2975,10.4976,REJECT
1097,ARENA-0873,EMA200+MACD,1.2,7,30,Trend,4.0,10.0,0.2077,0.2581,1.0216,1.2416,30.7692,13,1.2425,10.4705,REJECT
1098,ARENA-0247,MACD,0.8,7,20,Balanced,3.0,8.0,6.0141,0.4397,1.2246,1.1731,36.0,25,0.0731,10.377,REJECT
1099,ARENA-0250,MACD,0.8,7,30,Balanced,3.0,8.0,6.0141,0.4397,1.2246,1.1731,36.0,25,0.0731,10.377,REJECT
1100,ARENA-1043,RSI+MACD,1.2,10,30,Conservative,2.0,6.0,2.1969,1.1574,0.8247,2.0536,33.3333,12,0.5268,10.3609,REJECT
1101,ARENA-1003,RSI+MACD,1.0,7,20,Balanced,3.0,8.0,3.2521,0.8482,0.8152,1.586,37.5,16,0.2608,10.3018,REJECT
1102,ARENA-1258,EMA200+RSI+MACD,1.0,10,30,Balanced,3.0,8.0,1.8847,0.8327,0.8152,1.5746,33.3333,15,0.4418,10.2938,REJECT
1103,ARENA-1040,RSI+MACD,1.2,10,20,Conservative,2.0,6.0,2.3927,1.1574,0.8247,2.0536,33.3333,12,0.4837,10.1884,REJECT
1104,ARENA-0542,LinearRegression,1.2,7,10,Conservative,2.0,6.0,-0.6018,1.6394,0.7284,2.296,30.7692,13,0.0,10.1612,REJECT
1105,ARENA-0545,LinearRegression,1.2,7,20,Conservative,2.0,6.0,-1.1977,1.6394,0.7284,2.296,30.7692,13,0.0,10.1612,REJECT
1106,ARENA-0548,LinearRegression,1.2,7,30,Conservative,2.0,6.0,-1.3866,1.6394,0.7284,2.296,30.7692,13,0.0,10.1612,REJECT
1107,ARENA-0308,MACD,1.2,10,10,Conservative,2.0,6.0,1.7393,0.7019,0.8727,1.4203,37.5,16,0.4035,10.1463,REJECT
1108,ARENA-1255,EMA200+RSI+MACD,1.0,10,20,Balanced,3.0,8.0,2.0422,0.8327,0.8152,1.5746,33.3333,15,0.4078,10.1234,REJECT
1109,ARENA-0282,MACD,1.0,10,10,Trend,4.0,10.0,3.3656,0.6278,1.3334,1.2267,38.0952,21,0.1865,10.0874,REJECT
1110,ARENA-1052,RSI+MACD,1.2,14,30,Conservative,2.0,6.0,2.7177,1.2558,0.7282,2.2478,36.3636,11,0.4621,10.0748,REJECT
1111,ARENA-1245,EMA200+RSI+MACD,1.0,7,10,Trend,4.0,10.0,1.4007,0.5755,0.7883,1.4039,37.5,16,0.4108,10.0591,REJECT
1112,ARENA-1228,EMA200+RSI+MACD,0.8,10,20,Balanced,3.0,8.0,3.9239,0.56,1.0784,1.293,33.3333,21,0.1427,10.0364,REJECT
1113,ARENA-1231,EMA200+RSI+MACD,0.8,10,30,Balanced,3.0,8.0,3.9239,0.56,1.0784,1.293,33.3333,21,0.1427,10.0364,REJECT
1114,ARENA-1243,EMA200+RSI+MACD,1.0,7,10,Balanced,3.0,8.0,1.4636,0.5755,0.7883,1.4039,37.5,16,0.3932,9.965,REJECT
1115,ARENA-1049,RSI+MACD,1.2,14,20,Conservative,2.0,6.0,2.9145,1.2558,0.7282,2.2478,36.3636,11,0.4309,9.9604,REJECT
1116,ARENA-1288,EMA200+RSI+MACD,1.2,14,10,Balanced,3.0,8.0,0.9625,0.8218,0.7282,1.8219,36.3636,11,0.8538,9.9436,REJECT
1117,ARENA-1290,EMA200+RSI+MACD,1.2,14,10,Trend,4.0,10.0,0.9625,0.8218,0.7282,1.8219,36.3636,11,0.8538,9.9436,REJECT
1118,ARENA-1235,EMA200+RSI+MACD,0.8,14,10,Conservative,2.0,6.0,4.1456,0.4168,1.0366,1.2135,36.3636,22,0.1005,9.8042,REJECT
1119,ARENA-0949,EMA200+RelativeVolume,1.2,7,20,Balanced,3.0,8.0,-2.5491,1.0244,1.2378,1.3476,33.3333,21,0.0,9.7978,REJECT
1120,ARENA-0952,EMA200+RelativeVolume,1.2,7,30,Balanced,3.0,8.0,-2.5945,1.0244,1.2378,1.3476,33.3333,21,0.0,9.7978,REJECT
1121,ARENA-0985,RSI+MACD,0.8,10,20,Balanced,3.0,8.0,5.1827,0.56,1.0784,1.293,33.3333,21,0.1081,9.7937,REJECT
1122,ARENA-0988,RSI+MACD,0.8,10,30,Balanced,3.0,8.0,5.1827,0.56,1.0784,1.293,33.3333,21,0.1081,9.7937,REJECT
1123,ARENA-1236,EMA200+RSI+MACD,0.8,14,10,Trend,4.0,10.0,4.6743,0.4146,1.0493,1.2216,36.3636,22,0.0887,9.7454,REJECT
1124,ARENA-1234,EMA200+RSI+MACD,0.8,14,10,Balanced,3.0,8.0,4.7611,0.4146,1.0493,1.2216,36.3636,22,0.0871,9.7335,REJECT
1125,ARENA-1036,RSI+MACD,1.2,10,10,Balanced,3.0,8.0,0.976,0.7238,0.8247,1.6647,33.3333,12,0.7416,9.6288,REJECT
1126,ARENA-1038,RSI+MACD,1.2,10,10,Trend,4.0,10.0,0.976,0.7238,0.8247,1.6647,33.3333,12,0.7416,9.6288,REJECT
1127,ARENA-0993,RSI+MACD,0.8,14,10,Trend,4.0,10.0,5.7721,0.4146,1.0493,1.2216,36.3636,22,0.0718,9.6217,REJECT
1128,ARENA-0992,RSI+MACD,0.8,14,10,Conservative,2.0,6.0,5.5466,0.4168,1.0366,1.2135,36.3636,22,0.0751,9.618,REJECT
1129,ARENA-0991,RSI+MACD,0.8,14,10,Balanced,3.0,8.0,5.8599,0.4146,1.0493,1.2216,36.3636,22,0.0707,9.6138,REJECT
1130,ARENA-1238,EMA200+RSI+MACD,0.8,14,20,Conservative,2.0,6.0,3.0552,0.3524,1.0656,1.1829,36.3636,22,0.1153,9.6016,REJECT
1131,ARENA-1241,EMA200+RSI+MACD,0.8,14,30,Conservative,2.0,6.0,3.0552,0.3524,1.0656,1.1829,36.3636,22,0.1153,9.6016,REJECT
1132,ARENA-1239,EMA200+RSI+MACD,0.8,14,20,Trend,4.0,10.0,3.3604,0.3501,1.0784,1.1898,36.3636,22,0.1042,9.5402,REJECT
1133,ARENA-1242,EMA200+RSI+MACD,0.8,14,30,Trend,4.0,10.0,3.3604,0.3501,1.0784,1.1898,36.3636,22,0.1042,9.5402,REJECT
1134,ARENA-1237,EMA200+RSI+MACD,0.8,14,20,Balanced,3.0,8.0,3.4599,0.3501,1.0784,1.1898,36.3636,22,0.1012,9.5183,REJECT
1135,ARENA-1240,EMA200+RSI+MACD,0.8,14,30,Balanced,3.0,8.0,3.4599,0.3501,1.0784,1.1898,36.3636,22,0.1012,9.5183,REJECT
1136,ARENA-0946,EMA200+RelativeVolume,1.2,7,10,Balanced,3.0,8.0,-1.9808,0.9199,1.2378,1.3134,33.3333,21,0.0,9.4601,REJECT
1137,ARENA-0317,MACD,1.2,14,10,Conservative,2.0,6.0,2.8509,0.7998,0.8727,1.504,40.0,15,0.2806,9.4551,REJECT
